Use,SALES,BUSCYEST,BUSCYEMP,ESTCYADMN,EMPCYADMN,ESZCYA,ESZCYB,ESZCYC,ESZCYD,ESZCYE,ESZCYF,ESZCYG,ESZCYH,ESZCYI,ESTCYAVESZ,ESTCYMEDSZ,AVECYAGRIC,AVECYMINE,AVECYCONST,AVECYMANUF,AVECYTRANS,AVECYWTRAD,AVECYRTRAD,AVECYFIRE,AVECYSRV,AVECYPUBAD,AVECYUNCLA,ESTCYAGRIC,ESTCYMINE,ESTCYCONST,ESTCYMANUF,ESTCYTRANS,ESTCYWTRAD,ESTCYRTRAD,ESTCYFIRE,ESTCYSRV,ESTCYPUBAD,ESTCYUNCLA,ESTCYAFF,ESTCYAGRSV,ESTCYCOALM,ESTCYOIL,ESTCYGCON,ESTCYHCON,ESTCYMFOOD,ESTCYMTOB,ESTCYMTXT,ESTCYMAPP,ESTCYMWOOD,ESTCYMFURN,ESTCYMPAPR,ESTCYMPUBL,ESTCYMCHEM,ESTCYMPETL,ESTCYMRUBB,ESTCYMLTHR,ESTCYMSTN,ESTCYMMFAB,ESTCYMEQMT,ESTCYTRNSP,ESTCYTRAV,ESTCYTRANV,ESTCYCOMM,ESTCYUTIL,ESTCYWHLD,ESTCYWHLND,ESTCYRBMAT,ESTCYRGMER,ESTCYRFOOD,ESTCYRCONV,ESTCYROFD,ESTCYRAUTO,ESTCYRCLTH,ESTCYRFURN,ESTCYRHFRN,ESTCYRCOMP,ESTCYRMUS,ESTCYRRST,ESTCYROFS,ESTCYRBAR,ESTCYRDRG,ESTCYRLIQ,ESTCYRSPC,ESTCYRCAT,ESTCYBANKS,ESTCYINSCA,ESTCYINSAG,ESTCYREAL,ESTCYHOTEL,ESTCYDRYCL,ESTCYBTY,ESTCYOTHPS,ESTCYADVER,ESTCYCOMPS,ESTCYOTHBS,ESTCYAREP,ESTCYMREP,ESTCYMOVIE,ESTCYENTRC,ESTCYHLTHM,ESTCYHOSP,ESTCYLEGAL,ESTCYEDUC,ESTCYCOLL,ESTCYLIB,ESTCYSOCSR,ESTCYCHILD,ESTCYMUSMS,ESTCYMEMBO,ESTCYPROFS,ESTCYGOVT,ESTCYUNK,ESLCYAFF,ESLCYAGRSV,ESLCYCOALM,ESLCYOIL,ESLCYGCON,ESLCYHCON,ESLCYMFOOD,ESLCYMTOB,ESLCYMTXT,ESLCYMAPP,ESLCYMWOOD,ESLCYMFURN,ESLCYMPAPR,ESLCYMPUBL,ESLCYMCHEM,ESLCYMPETL,ESLCYMRUBB,ESLCYMLTHR,ESLCYMSTN,ESLCYMMFAB,ESLCYMEQMT,ESLCYTRANS,ESLCYTRAV,ESLCYTRANV,ESLCYCOMM,ESLCYUTIL,ESLCYWHLD,ESLCYWHLND,ESLCYRBMAT,ESLCYRGMER,ESLCYRFOOD,ESLCYRCONV,ESLCYROFD,ESLCYRAUTO,ESLCYRCLTH,ESLCYRFURN,ESLCYRHFRN,ESLCYRCOMP,ESLCYRMUS,ESLCYRRST,ESLCYROFS,ESLCYRBAR,ESLCYRDRG,ESLCYRLIQ,ESLCYRSPC,ESLCYRCAT,ESLCYBANKS,ESLCYINSCA,ESLCYINSAG,ESLCYREAL,ESLCYHOTEL,ESLCYDRYCL,ESLCYBTY,ESLCYOTHPS,ESLCYADVER,ESLCYCOMPS,ESLCYOTHBS,ESLCYAREP,ESLCYMREP,ESLCYMOVIE,ESLCYENTRC,ESLCYHLTHM,ESLCYHOSP,ESLCYLEGAL,ESLCYEDUC,ESLCYCOLL,ESLCYLIB,ESLCYSOCSR,ESLCYCHILD,ESLCYMUSMS,ESLCYMEMBO,ESLCYPROFS,ESLCYGOVT,ESLCYUNK,ESCCYMINE,ESCCYCONST,ESCCYSCONS,ESCCYTECH,ESCCYUTILS,ESCCYWHOLI,ESCCYWAREH,ESCCYGENIN,ESCCYMFGHV,ESCCYMFGGN,ESCCYMFGLT,ESCCYMFGSM,ESCCYRTL,ESCCYREST,ESCCYPRSRP,ESCCYAUTOR,ESCCYHOTEL,ESCCYTHEAT,ESCCYEQPRN,ESCCYWHOLC,ESCCYGENCM,ESCCYADMN,ESCCYFIRE,ESCCYFIRES,ESCCYPROF,ESCCYBUSS,ESCCYOFF,ESCCYMED,ESCCYSCL,ESCCYLIB,ESCCYHOSP,ESCCYMUS,ESCCYOUTRC,ESCCYPUBAD,ESCCYCHURC,ESCCYOTHER,ESCCYAGPRO,ESCCYAGSRV
1,150000,6,12,0,0,5,1,0,0,0,0,0,0,0,2,2.4,0,0,3.5,0,0,0,1.33,0,1,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,200000,43,728,1,160,21,5,5,9,2,1,0,0,0,16.93,4.5,1.5,0,13.33,81.5,2,7,5,1,9,26.83,0,2,0,6,2,1,1,3,1,15,12,0,0,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,1,0,1,0,3,0,0,1,0,0,5,0,12,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,2,4,0,0,1,1,0,0,0,0,1,1,0,1,2,0,0,0,0,4,1,0,1,0,0,2,1,3,0,0,0,1,12,4,0,0,1
1,250000,12,151,0,0,4,3,3,1,1,0,0,0,0,12.58,7.33,0,0,3,10,0,0,6.67,1,21.4,10,0,0,0,1,1,0,0,3,1,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,0,0,1,2,0,0,0
1,1750000,156,1088,0,0,93,30,21,10,2,0,0,0,0,6.97,3.35,1.5,0,2,7,7,2.5,4.56,7.53,7.37,8.55,0,2,0,3,2,4,2,27,15,57,44,0,0,2,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,1,0,2,0,1,1,1,0,1,1,5,2,0,0,0,5,0,0,0,0,9,1,4,3,1,7,0,1,9,3,1,0,3,1,4,0,2,1,1,7,2,0,1,4,1,1,11,4,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,3,0,3,0,0,0,3,0,2,2,1,0,0,0,1,1,20,5,15,1,0,0,0,0,6,0,3,11,12,2,7,1,2,0,1,1,2,44,11,1,0,1
1,225000,29,166,0,0,24,1,2,1,1,0,0,0,0,5.72,2.42,2,0,3,2,2,4,17.5,0,4.6,0,0,2,0,5,1,1,1,4,0,15,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,1,0,0,0,0,1,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,1,4,0,1,1,0,1,0,0,4,0,0,0,2,0,1,0,0,0,1,0,1,0,5,0,0,0
1,195000,85,1087,0,0,48,21,8,6,0,1,1,0,0,12.79,3.54,15,0,4,1,10.5,0,12.19,5.9,17.13,9,0,1,0,2,1,4,0,31,10,32,4,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,3,1,0,1,6,1,2,1,0,0,5,3,0,1,1,5,0,7,0,0,3,0,0,4,2,0,0,3,4,0,0,1,10,2,3,0,0,0,2,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,2,0,0,0,1,19,8,5,0,0,0,5,0,5,0,4,5,3,2,2,11,0,0,1,1,1,4,0,1,0,1
1,230000,13,105,0,0,6,4,1,2,0,0,0,0,0,8.08,4.63,0,0,5,0,0,0,15.75,0,4.5,0,0,0,0,3,0,0,0,4,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0
1,372000,16,106,0,0,11,1,3,1,0,0,0,0,0,6.63,2.91,2,0,2,0,0,1,14.33,5.33,9,0,0,1,0,4,0,0,1,3,3,4,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0
1,140000,40,219,0,0,27,4,7,2,0,0,0,0,0,5.47,2.96,0,0,1,4.33,3,0,9.92,3.38,3.85,0,0,0,0,1,3,3,0,12,8,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,1,0,2,0,2,0,2,0,3,3,0,0,4,2,0,0,2,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,7,4,6,0,0,0,1,0,1,0,1,7,1,1,3,3,0,0,0,0,0,0,0,0,0,0
0,0,79,404,1,100,57,15,3,3,0,1,0,0,0,5.11,2.77,3,0,4,34.33,1.5,4.5,4,3.93,4.17,0,0,3,0,4,3,2,2,22,14,29,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,2,0,3,0,0,1,0,6,0,1,2,1,1,0,0,0,1,0,6,0,4,0,6,4,1,2,4,3,0,0,2,4,0,0,1,1,1,4,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,2,20,0,9,4,1,1,0,0,4,1,1,12,6,1,1,2,0,0,0,0,0,0,2,1,0,5
